label	function
rotation	rotation
size	size
diff_shapes	diff_shapes
lwd	margin
lty	margin
mov_hrl	movement
mov_hlr	movement
mov_vud	movement
mov_vdu	movement
AND	logic
OR	logic
XOR	logic
identity	identity
fill	fill
multifill	fill
filline fill
parfill  fill
trans.fill mental_transformation
trans.fill.line mental_transformation
diff_shapes.inv	diff_shapes
hquant  numeric_progression
vquant  numeric_progression
hquant.inv  numeric_progression
vquant.inv  numeric_progression
hquant.x2  numeric_progression
vquant.x2  numeric_progression
reflection  reflection
